uid,name,type,information,lng,lat,time_start,time_end
101,建發科雅,加油站,(04)25690268,120.637093,24.234129,0,23
102,楓騰,加油站,(04)25671618,120.662225,24.232694,0,23
103,五張犁,加油站,(04)23365858,120.648272,24.093284,0,23
104,霧峰交流道加油站,加油站,(04)23301032,120.695613,24.053249,0,23
105,山大王直營,加油站,(049)2988688,120.965563,23.963411,0,23
106,北基中清交流道,加油站,(04)25608150,120.649576,24.214268,0,23
107,驛田加油站,加油站,(049)2981899,120.965585,23.974176,0,23
108,新富,加油站,(04)23812317,120.622764,24.145775,0,23
109,陸海彰化加油加氣,加油站,(04)7618438,120.52025,24.063354,0,23
110,樹德公園,加油站,(04)22651345,120.652816,24.117977,0,23
111,智弘,加油站,(04)22805919,120.689968,24.1319242,0,23
112,山隆北屯,加油站,(04)22334437,120.6938084,24.1645968,0,23
113,山隆文心,加油站,(04)22412981,120.6938842,24.1714086,0,23
114,群邦,加油站,(04)8236196,120.5425797,23.9100855,0,23
115,元斗(北斗),加油站,(04)8877116,120.5141349,23.8703264,0,23
116,裕田國際,加油站,(049)2996073,120.9538174,23.9700046,0,23
117,沙鹿交流道,加油站,(04)26651756,120.575391,24.247317,0,23
118,圓環東路,加油站,(04)25132472,120.730085,24.254966,0,23
119,親親,加油站,(04)22320181,120.691563,24.160479,0,23
120,鎮南,加油站,(04)26366929,120.563782,24.232833,0,23
121,上嘉霧峰,加油站,(04)23397756,120.696369,24.069697,0,23
122,員集,加油站,(04)8321018,120.576032,23.946917,0,23
123,黎明路,加油站,(04)24790100,120.626294,24.114349,0,23
124,順勢,加油站,(04)25248488,120.747771,24.266352,0,23
125,山隆五權,加油站,(04)22027088,120.672026,24.146558,0,23
126,梅川東路,加油站,(04)22462855,120.682137,24.17897,0,23
127,東虹崇德,加油站,(04)22361605,120.685094,24.168952,0,23
128,東閔路,加油站,(049)2393286,120.680293,23.954977,0,23
129,溪南東站,加油站,(04)23357711,120.6478584,24.0772085,0,23
130,台大沙鹿,加油站,(04)26656068,120.582923,24.249704,0,23
131,山隆大雅,加油站,(04)25689565,120.641266,24.229878,0,23
132,山隆中興,加油站,(049)2371040,120.675445,23.955666,0,23
133,巨大,加油站,(049)2917859,120.941574,23.956293,0,23
134,山隆大肚,加油站,(04)26997315,120.543392,24.159705,0,23
135,中庄,加油站,(04)7377776,120.566347,24.089665,0,23
136,興安路,加油站,(04)22331970,120.694079,24.170925,0,23
137,彰秀,加油站,(04)7684999,120.504393,24.041256,0,23
138,豐樂,加油站,(04)24223929,120.686271,24.194595,0,23
139,草溪路,加油站,(049)2312170,120.672294,23.958631,0,23
140,彰工,加油站,(04)7780988,120.422323,24.075002,0,23
141,頂番婆,加油站,(04)7715347,120.485231,24.084591,0,23
142,元寶,加油站,(04)25603189,120.66885,24.214502,0,23
143,新庄,加油站,(04)8757168,120.596629,23.856331,0,23
144,恩光中清交流道,加油站,(04)24267111,120.656975,24.200714,0,23
145,福雅加油站,加油站,(04)24635458,120.628945,24.205742,0,23
146,建發龍井交流道,加油站,(04)26314648,120.573525,24.185554,0,23
147,豐勢交流道,加油站,(04)25271280,120.7478145,24.269656,0,23
148,明德195,加油站,(04)25723877,120.7719302,24.2748584,0,23
149,建發沙鹿,加油站,(04)26620955,120.6736482,24.1477358,0,23
150,環中東路,加油站,(04)25368145,120.7073061,24.2008079,0,23
151,八堵加油加氣站,加油站,(02)24560524,121.7258333,25.10416667,0,23
152,成功一路站,加油站,(02)24316683,121.7375,25.12694444,0,23
153,安樂站,加油站,(02)24311788,121.7188889,25.12638889,0,23
154,碇內站,加油站,(02)24577214,121.7486111,25.09833333,0,23
155,保長坑站,加油站,(02)86485318,121.6741667,25.07444444,0,23
156,東明路站,加油站,(02)24660611,121.7588889,25.12805556,0,23
157,中崙站,加油站,(02)27712548,121.5397222,25.04638889,0,23
158,三重重新路站,加油站,(02)29953683,121.4725,25.04694444,0,23
159,北投站,加油站,(02)28201203,121.5022222,25.11916667,0,23
160,基隆路站,加油站,(02)27383992,121.5558333,25.02777778,0,23
161,汐止站,加油站,(02)26412246,121.6394444,25.06,0,23
162,社子站,加油站,(02)28122647,121.5116667,25.085,0,23
163,民權西路站,加油站,(02)25575809,121.5141667,25.06277778,0,23
164,菜寮站,加油站,(02)29843153,121.4897222,25.05888889,0,23
165,福林站 ,加油站,(02)28812420,121.5275,25.0925,0,23
166,中央北路站,加油站,(02)28913744,121.4661111,25.12694444,0,23
167,寶橋站,加油站,(02)29111965,121.5491667,24.9775,0,23
168,龍安站,加油站,(02)23631735,121.5352778,25.02583333,0,23
169,百齡四路加油加氣站,加油站,(02)28201427,121.5111111,25.10805556,0,23
170,忠孝東路站,加油站,(02)27622418,121.5669444,25.04138889,0,23
171,內湖站,加油站,(02)27920678,121.5838889,25.06861111,0,23
172,八里站,加油站,(02)26104191,121.4230556,25.15888889,0,23
173,新莊站,加油站,(02)29965736,121.4452778,25.03472222,0,23
174,木柵站,加油站,(02)29392990,121.5641667,24.98833333,0,23
175,萬隆站,加油站,(02)29312829,121.5394444,25.00444444,0,23
176,中和站,加油站,(02)22493364,121.5077778,24.99944444,0,23
177,淡水站,加油站,(02)26212343,121.4455556,25.16861111,0,23
178,陽明山站,加油站,(02)28616052,121.5458333,25.13555556,0,23
179,林口站,加油站,(02)26015017,121.3969444,25.07777778,0,23
180,板橋民族路站,加油站,(02)29536247,121.4636111,25.00916667,0,23
181,南港站,加油站,(02)27822408,121.6044444,25.05416667,0,23
182,蘆洲站,加油站,(02)22812333,121.4733333,25.08527778,0,23
183,環河南路站,加油站,(02)23040528,121.4922222,25.03277778,0,23
184,三峽站,加油站,(02)26711123,121.3777778,24.93083333,0,23
185,鶯歌站,加油站,(02)26792944,121.3522222,24.95055556,0,23
186,新店北新路站,加油站,(02)29180305,121.5419444,24.96861111,0,23
187,莒光路站,加油站,(02)23028385,121.5072222,25.03138889,0,23
188,泰新站,加油站,(02)29094220,121.4388889,25.05138889,0,23
189,樹林站,加油站,(02)26812405,121.43,24.99944444,0,23
190,信義路站,加油站,(02)27081235,121.5555556,25.03305556,0,23
191,汀州路站,加油站,(02)23655595,121.5258333,25.02055556,0,23
192,民生東路站,加油站,(02)27671664,121.5638889,25.05944444,0,23
193,松山路站,加油站,(02)27297328,121.5775,25.03972222,0,23
194,文林路站,加油站,(02)28817934,121.5261111,25.0875,0,23
195,富陽街站,加油站,(02)27324229,121.5569444,25.01916667,0,23
196,永和永利路站,加油站,(02)29212541,121.5197222,25.005,0,23
197,蘆洲中山二路站,加油站,(02)22859867,121.4688889,25.07722222,0,23
198,大直站,加油站,(02)25320154,121.5505556,25.08444444,0,23
199,埔墘站,加油站,(02)29553436,121.4808333,25.01944444,0,23
200,內湖麗山街站,加油站,(02)26577339,121.5711111,25.08138889,0,23
201,淡海新市鎮站,加油站,(02)26228923,121.4461111,25.19194444,0,23
202,五股站,加油站,(02)22917541,121.4388889,25.0825,0,23
203,重陽路,加油站,(02)29718645,121.4925,25.07194444,0,23
204,新生北路站,加油站,(02)25815206,121.5280556,25.05666667,0,23
205,土城廣福路站,加油站,(02)89672580,121.4558333,24.99611111,0,23
206,土城站,加油站,(02)22602808,121.4408333,24.97416667,0,23
207,光復北路站,加油站,(02)27674900,121.5580556,25.04944444,0,23
208,大豐站,加油站,(02)29117053,121.5422222,24.97833333,0,23
209,林森北路站,加油站,(02)23410686,121.5238889,25.04583333,0,23
210,積穗站,加油站,(02)22219719,121.4836111,25.005,0,23
211,新店中正路站,加油站,(02)22192678,121.5341667,24.98055556,0,23
212,蘆洲三民路站,加油站,(02)22890485,121.4619444,25.09305556,0,23
213,濱江大直橋加油加氣站,加油站,(02)25177975,121.5519444,25.0725,0,23
214,武陵站,加油站,(03)3604492,121.2847222,24.98833333,0,23
215,中山路站,加油站,(03)3323504,121.3,24.99222222,0,23
216,迴龍站,加油站,(02)82093915,121.4,25.01611111,0,23
217,林口工三站,加油站,(03)3282232,121.3702778,25.06166667,0,23
218,龜山站,加油站,(03)3296223,121.3463889,25,0,23
219,蘆竹站,加油站,(03)3224714,121.2913889,25.04944444,0,23
220,三民路站,加油站,(03)3348425,121.3205556,24.99972222,0,23
221,春日路站,加油站,(03)3550381,121.3102778,25.01055556,0,23
222,平鎮站,加油站,(03)4934734,121.2105556,24.94805556,0,23
223,埔心站,加油站,(03)4826370,121.1747222,24.91194444,0,23
224,梅溪站,加油站,(03)4782632,121.1594444,24.90861111,0,23
225,新富站,加油站,(03)4573401,121.212726,24.927107,0,23
226,龍潭站,加油站,(03)4792614,121.2175,24.8675,0,23
227,介壽路站,加油站,(03)3615070,121.305,24.98027778,0,23
228,獅子王站,加油站,(03)4961585,121.1719444,24.92388889,0,23
229,中壢工業區加油站,加油站,(03)4521948,121.2380556,24.96527778,0,23
230,中壢工二站,加油站,(03)4620443,121.2472222,24.98,0,23
231,龍岡站,加油站,(03)4592501,121.23,24.94444444,0,23
232,天祥站,加油站,(03)2813170,121.1930556,24.95833333,0,23
233,大園民生站,加油站,(03)3856171,121.2022222,25.06444444,0,23
234,中壢服務區站,加油站,(03)4622920,121.2508333,25.00277778,0,23
235,廣福路站,加油站,(03)3636875,121.2660361,24.9562446,0,23
236,彰化站,加油站,(04)7222759,120.5536111,24.08472222,0,23
237,草屯站,加油站,(049)2362049,120.6866667,23.98472222,0,23
238,大甲站,加油站,(04)26872314,120.6319444,24.35472222,0,23
239,員林站,加油站,(04)8320294,120.5711111,23.97138889,0,23
240,二林站,加油站,(04)8960049,120.3736111,23.9025,0,23
241,東勢站,加油站,(04)25872454,120.8238889,24.26166667,0,23
242,大肚站,加油站,(04)26992502,120.5497222,24.14027778,0,23
243,南投三和站,加油站,(049)2227255,120.6908333,23.90638889,0,23
244,和美站,加油站,(04)7553024,120.5027778,24.10694444,0,23
245,進化路站,加油站,(04)22323873,120.6944444,24.16111111,0,23
246,沙鹿站,加油站,(04)26314644,120.5730556,24.23111111,0,23
247,台中工業區加油站,加油站,(04)23592968,120.6144444,24.18305556,0,23
248,社頭站,加油站,(04)8732534,120.5836111,23.90444444,0,23
249,埔里站,加油站,(049)2982403,120.9616667,23.96777778,0,23
250,溪湖站,加油站,(04)8852244,120.4797222,23.96777778,0,23
251,清水站,加油站,(04)26222464,120.5783333,24.27777778,0,23
252,彰化中山路站,加油站,(04)7224496,120.5441667,24.07472222,0,23
253,太平站,加油站,(04)22787508,120.7108333,24.12666667,0,23
254,青海路站,加油站,(04)27015054,120.6438889,24.17138889,0,23
255,文心路站,加油站,(04)23131239,120.6502778,24.16277778,0,23
256,向上路站,加油站,(04)23011800,120.6680556,24.14638889,0,23
257,大雅中清路站,加油站,(04)25664445,120.6483333,24.21777778,0,23
258,梧棲站,加油站,(04)26568415,120.5322222,24.26083333,0,23
259,后里站,加油站,(04)25562174,120.7238889,24.31555556,0,23
260,花壇站,加油站,(04)7862064,120.5413889,24.02444444,0,23
261,北斗站,加油站,(04)8882154,120.5197222,23.87694444,0,23
262,青島路站,加油站,(04)22925400,120.6744444,24.17444444,0,23
263,公益路站,加油站,(04)23269700,120.6527778,24.15111111,0,23
264,霧峰林森路站,加油站,(04)23339411,120.6947222,24.06138889,0,23
265,石岡豐勢路站,加油站,(04)25722984,120.7816667,24.27472222,0,23
266,員東路站,加油站,(04)8329743,120.5794444,23.95777778,0,23
267,五權西路站,加油站,(04)23893367,120.6411111,24.14138889,0,23
268,松竹路站,加油站,(04)22451915,120.6888889,24.18166667,0,23
269,南崗工業區站,加油站,(049)2251460,120.671934,23.922746,0,23
270,烏日站,加油站,(04)23381514,120.6341667,24.10611111,0,23
271,復興路站,加油站,(04)22617800,120.6691667,24.12888889,0,23
272,公園路站,加油站,(04)22237535,120.683344,24.146992,0,23
273,福興站,加油站,(04)7772534,120.445,24.04777778,0,23
274,豐原大湳站,加油站,(04)25225504,120.7205556,24.26305556,0,23
275,翁子站,加油站,(04)25225510,120.7347222,24.25972222,0,23
276,埔心站,加油站,(04)8293874,120.5538889,23.95333333,0,23
277,員林快速道站,加油站,(04)8398903,120.5630556,23.94638889,0,23
278,南崗三路站,加油站,(049)2254902,120.6652778,23.93722222,0,23
279,豐原交流道站,加油站,(04)25228204,120.6963889,24.24888889,0,23
280,員林交流道站,加油站,(04)8858502,120.5121394,23.95259603,0,23
281,清水服務區站,加油站,(04)26203281,120.6013889,24.28138889,0,23
282,南投服務區站,加油站,(049)2204987,120.7102778,23.89916667,0,23
283,竹東站,加油站,(03)5962447,121.0963889,24.7225,0,23
284,科學園區站,加油站,(03)5779157,121.0047222,24.77944444,0,23
285,民華站,加油站,(03)5326491,120.9786111,24.80666667,0,23
286,府前站,加油站,(03)5556350,121.015,24.82388889,0,23
287,光復路站,加油站,(03)5718604,120.99,24.80027778,0,23
288,關東橋站,加油站,(03)5772433,121.0130556,24.78472222,0,23
289,新豐站,加油站,(03)5592308,121,24.8725,0,23
290,光明站,加油站,(03)5716471,121.0041667,24.79111111,0,23
291,東林路站,加油站,(03)5957003,121.0919444,24.7375,0,23
292,北大路站,加油站,(03)5227664,120.9608333,24.80527778,0,23
293,通利站,加油站,(037)764736,120.6927778,24.49805556,0,23
294,中苗站,加油站,(037)326764,120.8216667,24.56,0,23
295,中華路站,加油站,(037)266431,120.8247222,24.57083333,0,23
296,公館站,加油站,(037)222834,120.825,24.51166667,0,23
297,苑裡站,加油站,(037)866747,120.6497222,24.43916667,0,23
298,頭份站,加油站,(037)663242,120.9125,24.69083333,0,23
299,中正路站,加油站,(037)463428,120.8722222,24.68361111,0,23
300,頭屋站,加油站,(037)252723,120.8566667,24.57777778,0,23
301,苗栗交流道站,加油站,(037)236095,120.821011,24.521247,0,23
302,信義路站,加油站,(05)2359381,120.4288889,23.46888889,0,23
303,吳鳳路站,加油站,(05)2224070,120.4541667,23.46916667,0,23
304,斗六南環路站,加油站,(05)5339692,120.5575,23.7125,0,23
305,斗南站,加油站,(05)5972320,120.4811111,23.68,0,23
306,義和站,加油站,(05)5844090,120.4788889,23.77555556,0,23
307,新港站,加油站,(05)3742054,120.3469444,23.55083333,0,23
308,虎尾新生路站,加油站,(05)6322812,120.4361111,23.70722222,0,23
309,竹崎站,加油站,(05)2611714,120.5477778,23.51583333,0,23
310,新營服務區北上站,加油站,(06)6378280,120.3133333,23.34,0,23
311,新營服務區南下站,加油站,(06)6323381,120.310841,23.33956,0,23
312,斗南交流道站,加油站,(05)5954474,120.4755556,23.69333333,0,23
313,新營交流道站,加油站,(06)6561512,120.2938889,23.30666667,0,23
314,東山服務區站,加油站,(06)6234287,120.398987,23.284977,0,23
315,大義路站,加油站,(05)2300875,120.4725,23.45888889,0,23
316,雅虎站,加油站,(05)5514796,120.5236111,23.72666667,0,23
317,古坑服務區站,加油站,(05)5827210,120.545,23.61,0,23
318,嘉港站,加油站,(05)2382012,120.41,23.48861111,0,23
319,公園路站,加油站,(06)2517454,120.2147222,23.01722222,0,23
320,前鋒站,加油站,(06)2082162,120.2152778,23.00472222,0,23
321,大灣站,加油站,(06)2724010,120.2488889,22.99833333,0,23
322,大湖站,加油站,(07)6931793,120.2519444,22.87861111,0,23
323,永華路東站,加油站,(06)2992048,120.1808333,22.99,0,23
324,中華西路南站,加油站,(06)2970350,120.1869444,22.98722222,0,23
325,文賢路站,加油站,(06)2591749,120.1933333,23.00444444,0,23
326,阿蓮站,加油站,(07)6312139,120.3263889,22.87361111,0,23
327,仁德站,加油站,(06)2794451,120.2544444,22.97111111,0,23
328,成功路站,加油站,(06)2222894,120.2094444,22.99805556,0,23
329,大同路站,加油站,(06)2153503,120.2136111,22.97527778,0,23
330,安平工業區站,加油站,(06)2654022,120.1833333,22.97305556,0,23
331,安順站,加油站,(06)2569187,120.1955556,23.04305556,0,23
332,中油安定交流道站,加油站,(06)5921844,120.2352778,23.11333333,0,23
333,仁德服務區南下站,加油站,(06)3660758,120.2647222,22.90611111,0,23
334,仁德服務區北上站,加油站,(06)2782879,120.2663889,22.90638889,0,23
335,中油永交站,加油站,(06)2436250,120.2477778,23.04194444,0,23
